Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
5777,0.964,0.204,0.228,0.7,-0.14,-0.07,-72.398,41.823,40.277,0,453
5797,0.956,0.196,0.228,0.56,-0.49,0.07,-72.547,40.687,40.312,0,409
5818,0.964,0.2,0.22,-0.49,0.07,0.77,-72.864,42.277,40.301,0,329
5839,0.964,0.2,0.228,-2.16,0,0.77,-72.541,41.26,40.402,0,274
5860,0.972,0.188,0.22,-2.3,-0.14,0.83,-73.426,40.518,40.402,0,247
5880,0.98,0.184,0.22,-2.71,0.49,1.81,-73.693,39.911,40.402,0,224
5902,0.984,0.192,0.22,-1.18,2.99,1.95,-74.425,44.413,40.402,0,209
5922,0.972,0.18,0.212,-1.04,1.67,3.2,-72.656,37.479,40.402,0,232
5943,0.972,0.172,0.24,-0.49,0.77,2.09,-73.283,36.088,40.398,0,238
5963,0.984,0.164,0.232,-0.7,1.11,3.69,-73.9,35.259,40.264,0,239
5985,0.98,0.164,0.22,-2.16,2.43,4.52,-74.363,36.706,40.348,0,234
6005,0.972,0.168,0.232,-2.57,2.23,5.29,-73.586,35.912,40.237,0,215
6027,0.976,0.164,0.228,-2.02,0.7,4.94,-73.952,35.73,40.305,0,186
6047,0.976,0.168,0.228,0.07,-0.07,4.38,-73.824,36.387,40.305,0,174
6068,0.976,0.164,0.232,1.11,-0.07,4.38,-74.076,35.73,40.305,0,167
6088,0.988,0.16,0.236,1.74,0.7,4.24,-73.964,32.35,40.305,0,165
6110,0.98,0.156,0.228,2.3,1.81,3.97,-74.077,35.062,40.305,0,187
6130,0.972,0.16,0.228,2.57,1.32,3.2,-73.873,36.873,40.243,0,204
6151,0.976,0.168,0.236,2.09,1.18,2.02,-73.474,35.448,40.121,0,213
6172,0.968,0.18,0.224,1.18,1.18,2.02,-73.471,38.787,40.24,0,215
6193,0.984,0.18,0.232,0.49,1.04,2.16,-73.39,37.809,40.196,0,213
6213,0.98,0.188,0.236,0.9,1.04,1.95,-72.893,38.544,40.165,0,186
6235,0.976,0.188,0.228,0.35,0.35,1.81,-73.16,39.511,40.165,0,192
6255,0.98,0.188,0.232,-0.07,0,1.95,-72.957,40.104,40.165,0,181
6276,0.976,0.184,0.228,-0.56,0.35,2.23,-73.566,39.911,40.165,0,174
6297,0.976,0.18,0.224,-1.39,0.14,1.46,-73.913,40.336,40.165,0,195
6318,0.968,0.176,0.212,-0.14,-0.9,0.49,-74.117,39.702,40.13,0,233
6338,0.98,0.168,0.212,-0.28,0.83,2.23,-74.575,38.398,39.965,0,351
6360,0.972,0.168,0.22,-1.53,0.42,1.81,-74.109,37.369,40.174,0,112
6380,0.968,0.164,0.216,1.95,-0.35,1.74,-74.354,37.211,40.249,0,239
6401,0.964,0.18,0.208,-0.77,-0.28,2.23,-74.08,40.875,40.043,0,217
6422,0.98,0.18,0.232,-2.92,1.67,1.46,-73.326,37.809,40.043,0,216
6443,0.98,0.172,0.208,-1.67,3.13,2.5,-73.872,39.809,40.043,0,219
6463,0.98,0.184,0.224,2.16,0.42,2.71,-72.725,38.076,40.043,0,225
